Symbol,Name,price_USD
BTC,Bitcoin,83378.0753315738188589
ETH,Ethereum,1842.9026020451416741
USDT,Tether,1.0003716520039819
XRP,XRP,2.1193016005635083
BNB,BNB,604.7144604075206305
SOL,Solana,126.5174573466787345
USDC,USDC,0.9999653103673741
DOGE,Dogecoin,0.1671324682558257
ADA,Cardano,0.6582123462705614
TRX,TRON,0.2380867419815410
STETH,Lido Staked ETH,1841.8932831523203086
WBTC,Wrapped Bitcoin,83270.6155892935064843
TON,Toncoin,4.1120338359913348
LINK,Chainlink,13.5845511446611188
LEO,UNUS SED LEO,9.1600212092949622
XLM,Stellar,0.2671393070888854
AVAX,Avalanche,18.9056607348552121
SHIB,Shiba Inu,0.0000124784766306
SUI,Sui,2.2931597088982217
HBAR,Hedera,0.1648086882534695
LTC,Litecoin,83.3286017218747292
WETH,Wrapped ETH,1842.3210487703883279
DOT,Polkadot,4.0577206172512593
OM,Mantra,6.2374283816939076
BCH,Bitcoin Cash,304.8742066251105043
BGB,Bitget Token,4.4885805357523574
DAI,Dai,0.9997409254337809
USDE,Ethena USDe,0.9999024627285786
PI,Pi,0.7276481736270778
HYPE,Hyperliquid,13.1755463979258718
XMR,Monero,215.4783084324555740
UNI,Uniswap,6.0111937789114679
APT,Aptos,5.3544323782373104
NEAR,Near Protocol,2.5990519053703079
PEPE,Pepe,0.0000072334129635
OKB,OKB,47.8169500068816149
MNT,Mantle,0.7933189787381244
CRO,Cronos,0.1001724399636555
FDUSD,First Digital USD,0.9982328723198311
ICP,Internet Computer,5.3577263087612276
ETC,Ethereum Classic,16.8181772682367848
ONDO,Ondo,0.7869703473947794
AAVE,Aave,160.6280675080677884
POL,POL (prev. MATIC),0.2066839427697406
TRUMP,Trump Official,10.1811260452705334
VET,VeChain,0.0227544496970954
GT,GateToken,22.4164920644773320
TAO,Bittensor,223.0333473893370946
ENA,Ethena,0.3533194011743653
TIA,Celestia,3.1332843874799961
RENDER,Render,3.4864955144922557
FIL,Filecoin,2.7807221422206543
ATOM,Cosmos,4.4157254149938228
KAS,Kaspa,0.0655821805559434
ALGO,Algorand,0.1799146393235642
ARB,Arbitrum,0.3319172134245848
DEXE,DeXe,17.6569300967294256
S,Sonic (prev. FTM),0.4791301546526457
KCS,KuCoin Token,11.1585292181435405
IP,Story,5.0355501294662918
OP,Optimism,0.7456368637329544
JUP,Jupiter,0.4384173482305588
FET,Artificial Superintelligence Alliance,0.4593408117354849
MKR,Maker,1315.0438174475424015
XDC,XDC Network,0.0690597826474670
MOVE,Movement,0.4096061355035491
WBNB,Wrapped BNB,612.4645396606940220
EOS,EOS,0.6227051115369873
WLD,Worldcoin,0.7826248688479823
IMX,Immutable X,0.5309485462377324
STX,Stacks,0.6176757858056788
FORM,Four,2.4152939149203763
USD0,Usual USD,0.9972250990954756
BONK,Bonk,0.0000112796887229
GRT,The Graph,0.0889603816062051
INJ,Injective,8.7338355097510181
FLR,Flare,0.0140783775062276
SEI,Sei,0.1737883156065194
QNT,Quant,68.6884864742673341
THETA,Theta Network,0.8089456026757412
LDO,Lido DAO,0.8699283481912947
XAUT,Tether Gold,3158.4997406226859745
PYUSD,PayPal USD,0.9984455861258507
BERA,Berachain,6.8540736022787283
JTO,Jito,2.3144626201000806
XTZ,Tezos,0.6606424911469189
SAND,The Sandbox,0.2731815309230654
NEXO,Nexo,1.0461392990129854
GALA,Gala,0.0153841234053098
PAXG,PAX Gold,3149.7558154106062434
BTTOLD,BitTorrent [New],0.0000006619152522
CRV,Curve DAO Token,0.4983312638499550
IOTA,IOTA,0.1715523223563533
BSV,Bitcoin SV,31.5334587479269856
KAIA,Kaia,0.1032547740633865
FLOW,Flow,0.3828001498785886
ZEC,Zcash,37.7853489354247186
CAKE,PancakeSwap,1.9831353401398291
ENS,Ethereum Name Service,15.9743589856387997
FLOKI,FLOKI,0.0000588601171334
